X,Y,E
21.2729,2.68765,0.195205
21.3939,2.32717,0.181885
21.5148,2.24457,0.179028
21.6358,2.29597,0.181553
21.7568,2.6562,0.194381
21.8778,2.65285,0.194754
21.9988,2.15204,0.175731
22.1198,2.81196,0.201031
22.2407,2.20524,0.177935
22.3617,2.72246,0.197919
22.4827,2.92282,0.204786
22.6037,2.5502,0.191572
22.7247,2.76777,0.199786
22.8457,2.41694,0.186833
22.9666,2.55,0.191977
23.0876,2.80699,0.201744
23.2086,2.91015,0.205822
23.3296,2.84193,0.203434
23.4506,2.47771,0.189803
23.5716,2.43145,0.187974
23.6925,2.22373,0.180079
23.8135,2.77766,0.201184
23.9345,2.79816,0.202072
24.0555,2.614,0.195694
24.1563,2.74589,0.245418
24.2571,2.7638,0.103953
24.3784,2.843,0.105273
24.5003,2.88918,0.105363
24.6228,2.87791,0.10531
24.7459,2.89753,0.105302
24.8696,2.7954,0.102978
24.994,3.03858,0.107134
25.119,2.93642,0.105108
25.2446,3.10119,0.107568
25.3708,3.17134,0.108641
25.4976,3.06111,0.106439
25.6251,3.12462,0.107239
25.7533,3.30124,0.110146
25.882,3.13409,0.106732
26.0114,3.32434,0.109688
26.1415,3.19344,0.107283
26.2722,3.28768,0.108454
26.4036,3.3652,0.109731
26.5356,3.48391,0.111213
26.6682,3.37322,0.109286
26.8016,3.45121,0.110156
26.9356,3.38602,0.108846
27.0703,3.58524,0.11186
27.2056,3.5102,0.110229
27.3417,3.66277,0.112758
27.4784,3.84116,0.114958
27.6158,3.69467,0.11256
27.7538,3.71852,0.112498
27.8926,3.71306,0.112292
28.0321,3.7612,0.11253
28.1722,4.00873,0.115981
28.3131,3.81641,0.113031
28.4547,3.82609,0.112972
28.5969,4.04342,0.11592
28.7399,3.89781,0.113632
28.8836,4.15625,0.116878
29.028,4.28512,0.118266
29.1732,4.26688,0.117816
29.319,4.13264,0.115728
29.4656,4.30777,0.117939
29.613,4.35319,0.118342
29.761,4.36148,0.118044
29.9098,4.53779,0.120324
30.0594,4.64616,0.121376
30.2097,4.70809,0.121931
30.3607,4.66659,0.121157
30.5125,4.80884,0.122834
30.6651,4.83391,0.122766
30.8184,4.90631,0.123486
30.9725,5.14186,0.126176
31.1274,5.0315,0.124262
31.283,5.08763,0.124847
31.4394,5.07557,0.12474
31.5966,5.27371,0.126784
31.7546,5.07538,0.124155
31.9134,5.19039,0.125415
32.0729,5.15683,0.124691
32.2333,5.11779,0.123872
32.3945,5.13853,0.123853
32.5564,4.93677,0.121271
32.7192,4.71694,0.118313
32.8828,4.7742,0.118684
33.0472,4.6366,0.116683
33.2125,4.7012,0.11739
33.3785,4.81625,0.118612
33.5454,4.36159,0.112383
33.7132,4.34497,0.11203
33.8817,4.41977,0.112729
34.0511,4.12453,0.108756
34.2214,4.16721,0.108686
34.3925,4.33559,0.11069
34.5645,4.2233,0.108958
34.7373,4.27921,0.109472
34.911,4.31956,0.10974
35.0855,4.59892,0.113111
35.2609,4.45362,0.110905
35.4373,4.84438,0.115594
35.6144,4.87862,0.115672
35.7925,4.91954,0.115854
35.9715,5.17514,0.118683
36.1513,5.11943,0.117884
36.3321,5.43911,0.121288
36.5137,5.36162,0.120135
36.6963,5.41508,0.120421
36.8798,5.32522,0.119228
37.0642,5.40171,0.119929
37.2495,5.25871,0.117936
37.4358,5.13326,0.116264
37.6229,5.10011,0.115593
37.8111,5.23271,0.116836
38.0001,5.14954,0.115641
38.1901,5.26516,0.116691
38.3811,5.16965,0.115452
38.573,5.22269,0.115773
38.7658,5.38253,0.117331
38.9597,5.34767,0.116589
39.1545,5.49062,0.117891
39.3502,5.49036,0.117771
39.547,5.63875,0.118893
39.7447,5.4998,0.117269
39.9434,5.41821,0.116151
40.1432,5.51846,0.116976
40.3439,5.44419,0.115964
40.5456,5.61013,0.117492
40.7483,5.74885,0.11866
40.9521,5.53653,0.11599
41.1568,5.7274,0.117934
41.3626,5.74856,0.117802
41.5694,5.64271,0.116488
41.7773,5.97779,0.119709
41.9862,6.1424,0.120952
42.1961,6.16843,0.12112
42.4071,5.95335,0.118713
42.6191,6.31728,0.122119
42.8322,6.02487,0.11897
43.0464,6.06128,0.119101
43.2616,5.8504,0.11681
43.4779,5.99196,0.117943
43.6953,5.74304,0.115247
43.9138,5.79117,0.115474
44.1333,5.66305,0.113936
44.354,5.3033,0.109973
44.5758,5.33034,0.110014
44.7987,5.33634,0.109923
45.0226,5.27016,0.108865
45.2478,5.15136,0.107521
45.474,5.01177,0.105847
45.7014,5.15616,0.107005
45.9299,5.20384,0.107321
46.1595,5.10519,0.10607
46.3903,5.20149,0.106846
46.6223,5.30123,0.107707
46.8554,5.27537,0.107205
47.0897,5.37741,0.107998
47.3251,5.32569,0.107355
47.5617,5.1221,0.105094
47.7995,5.008,0.103678
48.0385,4.98499,0.103331
48.2787,4.86927,0.101963
48.5201,4.80802,0.101013
48.7627,4.60835,0.098737
49.0065,4.36744,0.0959569
49.2516,4.24558,0.0944588
49.4978,4.05523,0.0920395
49.7453,3.8618,0.0897313
49.994,3.69491,0.0876421
50.244,3.58119,0.0859667
50.4952,3.74686,0.0878044
50.7477,3.46899,0.0842889
51.0015,3.64942,0.0862278
51.2565,3.55875,0.0851474
51.5127,3.51015,0.0843782
51.7703,3.45806,0.083613
52.0292,3.5138,0.0841319
52.2893,3.5219,0.0840633
52.5507,3.50936,0.0837344
52.8135,3.59419,0.0845623
53.0776,3.54394,0.0839091
53.343,3.59333,0.0843501
53.6097,3.675,0.0850846
53.8777,3.63898,0.0845862
54.1471,3.73436,0.0854923
54.4178,3.75621,0.0856838
54.6899,3.84383,0.0864918
54.9634,3.702,0.0847585
55.2382,3.52623,0.0825661
55.5144,3.74417,0.0848827
55.792,3.62638,0.0834133
56.0709,3.55215,0.0825286
56.3513,3.5637,0.0824296
56.633,3.41921,0.0806249
56.9162,3.5589,0.0821344
57.2008,3.50397,0.0813626
57.4868,3.40896,0.0801703
57.7742,3.2447,0.0781084
58.0631,3.18307,0.0770977
58.3534,3.18969,0.0771915
58.6452,3.09414,0.0758296
58.9384,3.1447,0.0763482
59.2331,3.16724,0.0765092
59.5293,3.19452,0.0767197
59.8269,3.206,0.0767841
60.126,3.02009,0.0743787
60.4267,3.10823,0.0752985
60.7288,3.00939,0.074017
61.0324,3.11833,0.0752871
61.3376,3.06885,0.0745257
61.6443,2.99856,0.0734709
61.9525,2.88659,0.0720512
62.2623,2.89496,0.0719983
62.5736,2.94085,0.0724641
62.8865,2.84676,0.0711988
63.2009,2.82473,0.0708744
63.5169,2.82743,0.0707729
63.8345,2.84131,0.0708436
64.1537,2.75585,0.0696062
64.4744,2.70869,0.0689186
64.7968,2.94283,0.0717157
65.1208,2.79507,0.0697439
