X,Y,E
43.6953,11.4258,0.274918
43.9138,11.2395,0.272309
44.1333,11.6626,0.276991
44.354,11.3852,0.272529
44.5758,11.0596,0.268483
44.7987,10.8029,0.264336
45.0226,10.8053,0.263952
45.2478,10.9749,0.26562
45.474,10.5845,0.260531
45.7014,10.8854,0.263388
45.9299,10.8044,0.261935
46.1595,10.8476,0.262146
46.3903,10.8709,0.261761
46.6223,10.6823,0.258891
46.8554,11.2708,0.265451
47.0897,10.823,0.259577
47.3251,10.779,0.258416
47.5617,10.5947,0.256013
47.7995,10.3336,0.252127
48.0385,10.6148,0.255319
48.2787,10.138,0.248953
48.5201,10.3576,0.251082
48.7627,10.2398,0.249167
49.0065,9.60967,0.240956
49.2516,9.93323,0.244156
49.4978,9.90407,0.243668
49.7453,10.4848,0.25006
49.994,10.0769,0.244788
50.244,9.72979,0.240012
50.4952,9.58366,0.237648
50.7477,9.54572,0.236948
51.0015,9.55149,0.236667
51.2565,9.57347,0.236295
51.5127,9.72535,0.237798
51.7703,9.92116,0.239649
52.0292,9.51328,0.234351
52.2893,9.95226,0.239366
52.5507,9.94203,0.238638
52.8135,9.60503,0.234191
53.0776,9.85951,0.237086
53.343,9.98441,0.238168
53.6097,9.91213,0.236858
53.8777,9.58301,0.232413
54.1471,9.45145,0.230411
54.4178,9.6257,0.231933
54.6899,9.7419,0.233074
54.9634,9.49873,0.22979
55.2382,9.76186,0.23261
55.5144,9.86514,0.233461
55.792,9.46054,0.228351
56.0709,9.83683,0.232367
56.3513,9.29336,0.225576
56.633,9.23221,0.224439
56.9162,9.64117,0.228886
57.2008,9.77238,0.230007
57.4868,9.5281,0.226917
57.7742,9.52703,0.226539
58.0631,9.30433,0.223577
58.3534,9.62501,0.227036
58.6452,9.3068,0.222809
58.9384,9.30932,0.222684
59.2331,9.18445,0.220598
59.5293,9.40796,0.222981
59.8269,9.79603,0.227161
60.126,9.55658,0.223899
60.4267,9.2409,0.220115
60.7288,9.13272,0.218053
61.0324,9.7335,0.225072
61.3376,9.49199,0.221903
61.6443,9.44448,0.2208
61.9525,8.90222,0.214077
62.2623,9.66119,0.222584
62.5736,9.81956,0.224337
62.8865,9.29835,0.217942
63.2009,9.80457,0.223328
63.5169,9.62176,0.220777
63.8345,9.59543,0.220336
64.1537,9.1874,0.21518
64.4744,9.47186,0.218152
64.7968,9.91555,0.223051
65.1208,9.48126,0.217757
65.4464,9.58385,0.218492
65.7736,9.91277,0.222059
